epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.9563,3.45912,4.51877,4.03745,0.0015,0.21159,0.00113,0.00028,3.20481,7.2908,4.25547,0.00055324,0.00055324,0.00055324
2,103.401,2.95242,3.96044,3.26617,0.59707,0.05824,0.04895,0.01538,2.71244,3.22237,3.00712,0.00108695,0.00108695,0.00108695
3,151.152,2.6628,3.4876,2.86949,0.55544,0.04145,0.02322,0.00823,2.76762,3.64715,3.142,0.00159866,0.00159866,0.00159866
4,198.844,2.43119,3.16351,2.65266,0.28189,0.26545,0.18937,0.07467,2.29863,2.79584,2.55254,0.00156798,0.00156798,0.00156798
5,246.041,2.23149,2.83834,2.45301,0.43795,0.25568,0.21777,0.10937,2.12489,2.64404,2.3636,0.00153497,0.00153497,0.00153497
6,293.232,2.08642,2.59014,2.2971,0.46499,0.34274,0.32982,0.16004,1.90943,2.13441,2.16656,0.00150197,0.00150197,0.00150197
7,340.45,1.98663,2.39512,2.2118,0.49607,0.36968,0.39926,0.19788,1.83325,1.95646,2.06524,0.00146896,0.00146896,0.00146896
8,387.961,1.90529,2.31275,2.11947,0.5438,0.31925,0.36211,0.18889,1.81978,2.06628,2.05745,0.00143595,0.00143595,0.00143595
9,435.467,1.84405,2.22437,2.07163,0.54951,0.46637,0.45115,0.23775,1.70392,1.75278,1.94927,0.00140295,0.00140295,0.00140295
10,482.895,1.78495,2.099,1.9961,0.53254,0.49063,0.50171,0.29314,1.61551,1.65025,1.8717,0.00136994,0.00136994,0.00136994
11,530.203,1.72982,2.0145,1.95543,0.49061,0.32191,0.3389,0.16326,1.79805,2.29912,2.04339,0.00133693,0.00133693,0.00133693
12,577.361,1.71564,1.99817,1.92924,0.68256,0.51383,0.54591,0.33214,1.47463,1.55509,1.76249,0.00130393,0.00130393,0.00130393
13,624.353,1.66739,1.90241,1.88636,0.62527,0.51498,0.57408,0.34953,1.48477,1.46889,1.73205,0.00127092,0.00127092,0.00127092
14,671.611,1.59121,1.80518,1.8224,0.64184,0.49714,0.57005,0.33996,1.47316,1.4608,1.74799,0.00123791,0.00123791,0.00123791
15,718.639,1.60008,1.78256,1.81977,0.69241,0.5281,0.60689,0.36044,1.44858,1.37618,1.68265,0.00120491,0.00120491,0.00120491
16,766.502,1.5518,1.74041,1.78286,0.71474,0.52129,0.57417,0.36029,1.40862,1.38201,1.65787,0.0011719,0.0011719,0.0011719
17,813.412,1.53578,1.71851,1.75796,0.60818,0.49138,0.4988,0.30678,1.47881,1.48356,1.72438,0.00113889,0.00113889,0.00113889
18,860.904,1.54096,1.70208,1.76426,0.80022,0.53173,0.63297,0.39312,1.35885,1.2886,1.62245,0.00110589,0.00110589,0.00110589
19,908.063,1.52559,1.67885,1.75558,0.76479,0.54834,0.61637,0.3679,1.36134,1.26544,1.59929,0.00107288,0.00107288,0.00107288
20,958.034,1.49519,1.61393,1.71292,0.80415,0.58038,0.6417,0.39185,1.33337,1.24794,1.58694,0.00103987,0.00103987,0.00103987
21,1005.37,1.46863,1.57351,1.68447,0.81479,0.57321,0.65657,0.414,1.28634,1.20652,1.55342,0.00100687,0.00100687,0.00100687
22,1052.91,1.45948,1.57636,1.68446,0.76134,0.59734,0.65404,0.42226,1.27396,1.1806,1.53198,0.000973861,0.000973861,0.000973861
23,1100.12,1.45923,1.56331,1.68743,0.80546,0.59244,0.66214,0.43044,1.27714,1.19712,1.53319,0.000940855,0.000940855,0.000940855
24,1147.46,1.41229,1.52385,1.64205,0.80206,0.58924,0.66941,0.43348,1.25891,1.16417,1.52787,0.000907848,0.000907848,0.000907848
25,1194.81,1.39579,1.48927,1.62942,0.78292,0.63536,0.67932,0.43822,1.26812,1.13585,1.52985,0.000874842,0.000874842,0.000874842
26,1242.23,1.39288,1.45195,1.62656,0.71301,0.58546,0.6417,0.4199,1.24876,1.15472,1.50793,0.000841835,0.000841835,0.000841835
27,1289.34,1.39561,1.45473,1.6325,0.8147,0.57578,0.65145,0.44047,1.22344,1.12801,1.49067,0.000808828,0.000808828,0.000808828
28,1336.32,1.37229,1.41737,1.59775,0.81733,0.61552,0.69344,0.45426,1.19711,1.07923,1.46374,0.000775822,0.000775822,0.000775822
29,1384.73,1.35205,1.3881,1.5952,0.83026,0.63075,0.69028,0.46066,1.22443,1.08455,1.48537,0.000742815,0.000742815,0.000742815
30,1431.72,1.3482,1.40425,1.58388,0.80128,0.61518,0.69935,0.45574,1.21825,1.04475,1.46076,0.000709809,0.000709809,0.000709809
31,1479.07,1.32186,1.36393,1.5641,0.79877,0.6408,0.70634,0.46562,1.17312,1.04598,1.44278,0.000676802,0.000676802,0.000676802
32,1526.2,1.31602,1.33721,1.55694,0.7597,0.6694,0.71461,0.48262,1.15258,1.02839,1.43305,0.000643795,0.000643795,0.000643795
33,1573.68,1.3152,1.34518,1.55972,0.81628,0.62113,0.71787,0.49295,1.15425,1.01636,1.4239,0.000610789,0.000610789,0.000610789
34,1620.95,1.27508,1.28389,1.52843,0.79204,0.69541,0.73487,0.49888,1.13588,0.96639,1.4021,0.000577782,0.000577782,0.000577782
35,1667.98,1.2834,1.30144,1.5372,0.87027,0.59399,0.71837,0.47832,1.15404,0.98442,1.41272,0.000544776,0.000544776,0.000544776
36,1715.2,1.27273,1.28312,1.53525,0.83518,0.6481,0.72642,0.49489,1.12998,0.98995,1.43016,0.000511769,0.000511769,0.000511769
37,1762.91,1.27139,1.27843,1.51411,0.83392,0.62298,0.71852,0.50821,1.12899,0.96315,1.39429,0.000478762,0.000478762,0.000478762
38,1810.28,1.24171,1.23765,1.49713,0.80367,0.64637,0.70649,0.49371,1.14073,0.95844,1.41257,0.000445756,0.000445756,0.000445756
39,1857.55,1.2499,1.24111,1.50191,0.82671,0.6762,0.72197,0.50329,1.10636,0.94766,1.37592,0.000412749,0.000412749,0.000412749
40,1904.63,1.23551,1.21919,1.50305,0.80177,0.68225,0.73254,0.52296,1.10212,0.91579,1.37248,0.000379743,0.000379743,0.000379743
41,1983.44,1.15301,1.11397,1.43919,0.84208,0.67246,0.74085,0.52284,1.08327,0.89637,1.37001,0.000346736,0.000346736,0.000346736
42,2030.51,1.14214,1.07923,1.4383,0.89492,0.64335,0.74889,0.54215,1.0818,0.88767,1.36726,0.000313729,0.000313729,0.000313729
43,2077.14,1.10314,1.04347,1.39982,0.86694,0.68463,0.75848,0.54003,1.07717,0.89023,1.36707,0.000280723,0.000280723,0.000280723
44,2124.12,1.0985,1.02163,1.38896,0.81777,0.67275,0.74952,0.53706,1.04871,0.86894,1.3475,0.000247716,0.000247716,0.000247716
45,2171,1.09131,1.00321,1.38532,0.75979,0.72516,0.74839,0.53385,1.05385,0.86731,1.34189,0.00021471,0.00021471,0.00021471
46,2217.89,1.08198,0.98641,1.38103,0.8165,0.69369,0.7671,0.55137,1.03192,0.85109,1.31928,0.000181703,0.000181703,0.000181703
47,2264.82,1.06965,0.97664,1.37415,0.8423,0.71453,0.76729,0.56206,1.03172,0.84681,1.32884,0.000148696,0.000148696,0.000148696
48,2311.57,1.05325,0.95577,1.35918,0.82322,0.68703,0.75009,0.55149,1.02039,0.85136,1.32372,0.00011569,0.00011569,0.00011569
49,2358.54,1.04851,0.94373,1.34992,0.89525,0.66267,0.75616,0.54894,1.02283,0.84204,1.32282,8.26832e-05,8.26832e-05,8.26832e-05
50,2405.6,1.0442,0.94666,1.35161,0.76997,0.71922,0.75862,0.55116,1.02103,0.83977,1.32359,4.96766e-05,4.96766e-05,4.96766e-05
