epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.8421,3.4517,4.48313,4.04054,0.01209,0.05719,0.00458,0.0011,3.19745,6.74822,4.37696,0.00055324,0.00055324,0.00055324
2,100.225,2.98588,3.91344,3.31364,0.13212,0.0355,0.01289,0.00318,2.9785,4.02553,3.3364,0.00108695,0.00108695,0.00108695
3,146.582,2.7314,3.52585,2.94983,0.11851,0.07589,0.03863,0.01394,2.64946,3.508,2.95243,0.00159866,0.00159866,0.00159866
4,190.713,2.57517,3.35237,2.79478,0.18872,0.1453,0.10286,0.03009,2.66436,3.36447,2.92702,0.00156798,0.00156798,0.00156798
5,234.848,2.44444,3.11473,2.63656,0.29829,0.23678,0.15357,0.05831,2.3563,2.94446,2.64967,0.00153497,0.00153497,0.00153497
6,279.287,2.31975,2.87782,2.49712,0.28265,0.25284,0.17002,0.06164,2.26424,2.77621,2.51279,0.00150197,0.00150197,0.00150197
7,324.282,2.19628,2.69138,2.38932,0.27345,0.373,0.28405,0.1281,2.03518,2.61592,2.29423,0.00146896,0.00146896,0.00146896
8,369.881,2.12187,2.57443,2.29479,0.36341,0.36198,0.37336,0.18381,1.92725,2.1257,2.1837,0.00143595,0.00143595,0.00143595
9,415.042,2.02735,2.48405,2.20502,0.39284,0.33452,0.33656,0.14479,1.94316,2.10211,2.2018,0.00140295,0.00140295,0.00140295
10,460.253,1.96482,2.34022,2.1379,0.49613,0.40657,0.42022,0.22087,1.76486,1.85471,2.01336,0.00136994,0.00136994,0.00136994
11,504.082,1.87741,2.23693,2.06105,0.46102,0.40599,0.4019,0.20384,1.75775,1.90075,1.96774,0.00133693,0.00133693,0.00133693
12,547.839,1.87132,2.21556,2.03946,0.46414,0.45202,0.44529,0.23963,1.68604,1.79313,1.92292,0.00130393,0.00130393,0.00130393
13,591.656,1.79964,2.11938,1.97998,0.50296,0.45637,0.46097,0.26465,1.63018,1.71448,1.83877,0.00127092,0.00127092,0.00127092
14,635.536,1.74423,2.0195,1.92007,0.54937,0.49386,0.49523,0.27833,1.62247,1.69736,1.82961,0.00123791,0.00123791,0.00123791
15,679.662,1.71725,1.97569,1.8851,0.56934,0.49703,0.48732,0.27459,1.54486,1.60827,1.75455,0.00120491,0.00120491,0.00120491
16,723.658,1.6864,1.92076,1.85476,0.58479,0.48126,0.51524,0.27445,1.63189,1.62767,1.78729,0.0011719,0.0011719,0.0011719
17,767.444,1.6644,1.90563,1.82389,0.65659,0.48877,0.55157,0.31209,1.50361,1.50112,1.69959,0.00113889,0.00113889,0.00113889
18,811.095,1.65069,1.87371,1.81857,0.57367,0.55538,0.55512,0.33698,1.45173,1.43321,1.67413,0.00110589,0.00110589,0.00110589
19,854.846,1.6312,1.85472,1.80125,0.64059,0.50178,0.53167,0.30152,1.52533,1.49372,1.70496,0.00107288,0.00107288,0.00107288
20,898.481,1.57961,1.75571,1.73732,0.62263,0.54612,0.56232,0.35097,1.43756,1.37381,1.63099,0.00103987,0.00103987,0.00103987
21,942.266,1.56346,1.71765,1.72284,0.50771,0.5914,0.56564,0.34773,1.39881,1.32465,1.61119,0.00100687,0.00100687,0.00100687
22,985.814,1.54314,1.69952,1.70912,0.62434,0.55137,0.61298,0.36899,1.38404,1.29948,1.57186,0.000973861,0.000973861,0.000973861
23,1029.58,1.53974,1.68065,1.701,0.67009,0.55818,0.58092,0.36882,1.37606,1.28969,1.56601,0.000940855,0.000940855,0.000940855
24,1073.28,1.5059,1.63574,1.66318,0.57647,0.58076,0.57681,0.36627,1.38841,1.28438,1.56643,0.000907848,0.000907848,0.000907848
25,1117,1.47898,1.59613,1.64617,0.69388,0.57936,0.6237,0.37613,1.36889,1.28592,1.55924,0.000874842,0.000874842,0.000874842
26,1161.34,1.47317,1.55681,1.63333,0.75094,0.55591,0.61529,0.38144,1.31005,1.24367,1.49832,0.000841835,0.000841835,0.000841835
27,1205.21,1.47168,1.54011,1.6294,0.72998,0.60834,0.63323,0.39922,1.31425,1.2179,1.50372,0.000808828,0.000808828,0.000808828
