epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.6449,1.36554,2.33934,1.42275,0.46261,0.2539,0.27298,0.14343,1.72201,2.41605,1.72069,0.00055324,0.00055324,0.00055324
2,114.174,1.56496,1.89052,1.55267,0.46881,0.49011,0.4349,0.23167,1.54804,1.78179,1.57016,0.00108695,0.00108695,0.00108695
3,167.732,1.59826,1.84786,1.5826,0.42857,0.37879,0.36296,0.20708,1.72715,2.25804,1.66546,0.00159866,0.00159866,0.00159866
4,220.279,1.57964,1.83555,1.57087,0.49251,0.34949,0.33336,0.16318,1.68173,2.13049,1.7314,0.00156798,0.00156798,0.00156798
5,272.791,1.49709,1.6782,1.4988,0.48124,0.47302,0.495,0.27475,1.50621,1.59855,1.4792,0.00153497,0.00153497,0.00153497
6,325.138,1.42785,1.55805,1.45689,0.63996,0.58248,0.61886,0.36637,1.38187,1.27767,1.43603,0.00150197,0.00150197,0.00150197
7,377.533,1.36994,1.45775,1.42204,0.68049,0.55575,0.61473,0.3723,1.28678,1.36934,1.35054,0.00146896,0.00146896,0.00146896
8,429.915,1.36538,1.47824,1.42006,0.65495,0.65539,0.63555,0.37897,1.29874,1.21753,1.34445,0.00143595,0.00143595,0.00143595
9,482.18,1.33805,1.39623,1.39889,0.78628,0.61378,0.66147,0.39988,1.24112,1.16165,1.32106,0.00140295,0.00140295,0.00140295
10,534.469,1.29687,1.34392,1.36241,0.65593,0.64543,0.63673,0.4085,1.19198,1.07181,1.26277,0.00136994,0.00136994,0.00136994
11,586.879,1.24302,1.27899,1.33835,0.80215,0.63039,0.68601,0.43677,1.18483,1.06242,1.28865,0.00133693,0.00133693,0.00133693
12,639.291,1.25165,1.26327,1.34165,0.7894,0.64315,0.69956,0.4262,1.23485,1.06153,1.28538,0.00130393,0.00130393,0.00130393
13,691.506,1.23037,1.23492,1.33173,0.68637,0.67707,0.69443,0.44548,1.1983,1.02449,1.27499,0.00127092,0.00127092,0.00127092
14,743.777,1.17512,1.16468,1.29066,0.75376,0.63974,0.70275,0.44853,1.21691,1.0405,1.28683,0.00123791,0.00123791,0.00123791
15,796.375,1.19278,1.16126,1.2918,0.77188,0.62373,0.68493,0.44598,1.1704,1.0243,1.25541,0.00120491,0.00120491,0.00120491
