epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.122,1.25773,1.69991,1.52902,0.64741,0.58338,0.62673,0.33739,1.5461,1.91797,1.82139,0.000554432,0.000554432,0.000554432
2,228.607,1.39035,1.44314,1.62157,0.72706,0.53697,0.62704,0.29057,1.77671,1.64134,2.07381,0.00108812,0.00108812,0.00108812
3,334.87,1.3585,1.39648,1.59748,0.70058,0.62563,0.68287,0.39443,1.49225,1.38341,1.73298,0.0015998,0.0015998,0.0015998
4,441.638,1.27664,1.28033,1.5396,0.77648,0.66499,0.7538,0.4487,1.38667,1.27704,1.63278,0.00156798,0.00156798,0.00156798
5,543.331,1.22196,1.18169,1.48363,0.82314,0.71166,0.80093,0.49329,1.32038,1.07556,1.60384,0.00153497,0.00153497,0.00153497
6,644.097,1.1708,1.10577,1.43947,0.76765,0.63335,0.73211,0.46474,1.32747,1.17872,1.53293,0.00150197,0.00150197,0.00150197
7,744.89,1.12619,1.05465,1.41355,0.85675,0.76655,0.85036,0.57182,1.12866,0.90469,1.42162,0.00146896,0.00146896,0.00146896
8,845.646,1.09182,1.00265,1.38777,0.89848,0.80208,0.88506,0.60935,1.07049,0.83407,1.37178,0.00143595,0.00143595,0.00143595
9,946.393,1.07165,0.95516,1.37319,0.84769,0.78755,0.87267,0.60658,1.09261,0.83452,1.3608,0.00140295,0.00140295,0.00140295
10,1046.86,1.04835,0.93913,1.34654,0.88432,0.83631,0.90763,0.63994,1.01884,0.75464,1.3006,0.00136994,0.00136994,0.00136994
11,1147.59,1.02748,0.90355,1.3313,0.8826,0.81803,0.89663,0.62284,1.03448,0.76147,1.3397,0.00133693,0.00133693,0.00133693
12,1248.55,0.99698,0.86473,1.31435,0.94122,0.84087,0.92141,0.66797,0.95376,0.71266,1.25093,0.00130393,0.00130393,0.00130393
13,1349.52,0.98108,0.84513,1.30127,0.89195,0.84467,0.91748,0.66617,1.00186,0.71373,1.28832,0.00127092,0.00127092,0.00127092
14,1450.04,0.96987,0.8294,1.28979,0.91301,0.83876,0.91126,0.66427,0.97049,0.70999,1.28101,0.00123791,0.00123791,0.00123791
15,1550.48,0.95595,0.80387,1.27721,0.93521,0.83454,0.91636,0.65837,0.99722,0.71538,1.32153,0.00120491,0.00120491,0.00120491
16,1651.15,0.9253,0.76994,1.25588,0.91716,0.8388,0.92466,0.67857,0.96918,0.68755,1.2506,0.0011719,0.0011719,0.0011719
