epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.3483,1.17861,1.53654,1.46429,0.82294,0.72882,0.82911,0.51084,1.27879,1.08934,1.5988,0.000554432,0.000554432,0.000554432
2,162.603,1.21999,1.10632,1.47659,0.85212,0.72648,0.8579,0.5542,1.25762,0.94768,1.50027,0.00108812,0.00108812,0.00108812
3,237.953,1.17917,1.0347,1.44472,0.8618,0.76829,0.8599,0.54885,1.21071,0.97684,1.47923,0.0015998,0.0015998,0.0015998
4,313.136,1.10779,0.94924,1.39415,0.82133,0.81796,0.8971,0.59618,1.16155,0.87499,1.39637,0.00156798,0.00156798,0.00156798
5,387.59,1.05015,0.87413,1.34294,0.89988,0.83009,0.91477,0.62974,1.07916,0.77748,1.34402,0.00153497,0.00153497,0.00153497
6,461.912,1.00205,0.81997,1.30856,0.90994,0.84809,0.92868,0.64654,1.04075,0.72501,1.30915,0.00150197,0.00150197,0.00150197
7,536.183,0.96931,0.76877,1.28425,0.92489,0.84996,0.93209,0.68447,0.95934,0.67136,1.2279,0.00146896,0.00146896,0.00146896
8,610.64,0.93397,0.74217,1.25897,0.92634,0.86822,0.94471,0.69202,0.953,0.65136,1.23898,0.00143595,0.00143595,0.00143595
9,685.036,0.91362,0.70639,1.24897,0.93515,0.86622,0.94757,0.67286,0.98945,0.65972,1.28564,0.00140295,0.00140295,0.00140295
10,759.166,0.90064,0.69417,1.23347,0.94293,0.87456,0.94392,0.69949,0.94654,0.62954,1.22515,0.00136994,0.00136994,0.00136994
11,833.73,0.87983,0.67212,1.21986,0.94628,0.86795,0.94374,0.69677,0.95464,0.6335,1.26037,0.00133693,0.00133693,0.00133693
12,908.135,0.85799,0.6474,1.20573,0.91662,0.88208,0.94796,0.71506,0.89779,0.6109,1.19824,0.00130393,0.00130393,0.00130393
