epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,177.389,1.20239,1.80694,1.63583,0.86635,0.80129,0.87859,0.54935,1.23875,0.90683,1.63868,0.00332593,0.00332593,0.00332593
2,343.937,1.102,1.00769,1.52922,0.85845,0.74666,0.85174,0.53087,1.28767,0.99369,1.70601,0.00659333,0.00659333,0.00659333
3,503.969,1.20225,1.14178,1.62361,0.81117,0.67491,0.7838,0.44795,1.43066,1.23129,1.92847,0.00979474,0.00979474,0.00979474
4,663.088,1.23398,1.18967,1.66423,0.79321,0.72407,0.80256,0.48485,1.36678,1.18964,1.85283,0.009703,0.009703,0.009703
5,836.64,1.1957,1.1271,1.61719,0.85318,0.78388,0.8661,0.54657,1.2828,0.98969,1.735,0.009604,0.009604,0.009604
6,1002.97,1.13972,1.05153,1.57152,0.92126,0.78154,0.88902,0.58285,1.19898,0.90118,1.69271,0.009505,0.009505,0.009505
7,1164.53,1.10387,0.98125,1.53626,0.93023,0.82287,0.90889,0.61703,1.14509,0.82432,1.61356,0.009406,0.009406,0.009406
8,1343.81,1.07079,0.95044,1.51144,0.88442,0.82375,0.89933,0.60535,1.16787,0.8518,1.66849,0.009307,0.009307,0.009307
9,1500.54,1.03374,0.89904,1.48671,0.92397,0.82534,0.91863,0.64648,1.0899,0.77522,1.57952,0.009208,0.009208,0.009208
10,1657.02,1.02158,0.87324,1.46079,0.91291,0.8352,0.92394,0.65076,1.06203,0.76064,1.52474,0.009109,0.009109,0.009109
11,1813.51,1.00162,0.84402,1.44155,0.93631,0.81932,0.91242,0.63423,1.07777,0.80313,1.56674,0.00901,0.00901,0.00901
12,1969.96,0.97354,0.81112,1.42787,0.90198,0.84864,0.92367,0.66111,1.03649,0.7697,1.50058,0.008911,0.008911,0.008911
13,2127.48,0.94741,0.80447,1.40477,0.93897,0.86634,0.93704,0.68638,0.9951,0.69017,1.47434,0.008812,0.008812,0.008812
14,2284.11,0.9352,0.77016,1.39258,0.93161,0.83913,0.92462,0.67105,1.02561,0.74039,1.53284,0.008713,0.008713,0.008713
15,2440.64,0.9303,0.75681,1.38821,0.93212,0.84528,0.92748,0.66005,1.0466,0.72491,1.57333,0.008614,0.008614,0.008614
16,2597.02,0.90659,0.71871,1.36236,0.94458,0.84919,0.93119,0.67814,1.00931,0.69091,1.4838,0.008515,0.008515,0.008515
17,2753.62,0.89174,0.71558,1.35226,0.93752,0.87873,0.93791,0.69831,0.96734,0.68007,1.42252,0.008416,0.008416,0.008416
18,2909.95,0.89058,0.70664,1.35232,0.92402,0.85337,0.93765,0.6999,0.96674,0.66884,1.44421,0.008317,0.008317,0.008317
19,3066.79,0.87317,0.69011,1.33065,0.95289,0.85821,0.93284,0.68724,0.98573,0.69914,1.48841,0.008218,0.008218,0.008218
20,3223.11,0.85464,0.68156,1.32554,0.94834,0.86758,0.94262,0.71179,0.93457,0.64336,1.41356,0.008119,0.008119,0.008119
21,3379.43,0.85218,0.67074,1.31658,0.93769,0.8782,0.94685,0.70638,0.93693,0.62195,1.43535,0.00802,0.00802,0.00802
22,3535.97,0.84147,0.65755,1.30493,0.94072,0.87312,0.94586,0.70405,0.92645,0.64216,1.42618,0.007921,0.007921,0.007921
23,3692.5,0.82796,0.64476,1.29965,0.94959,0.87666,0.94969,0.72285,0.90241,0.59687,1.40194,0.007822,0.007822,0.007822
24,3848.93,0.81109,0.6282,1.28829,0.95343,0.85597,0.93996,0.71665,0.9178,0.63306,1.4205,0.007723,0.007723,0.007723
